DATE,AVG USAGE
2019-02-03,28.141592920353983
2019-02-04,64.59292035398231
2019-02-05,65.65486725663717
2019-02-06,68.63716814159292
2019-02-07,69.00884955752213
2019-02-08,60.78761061946903
2019-02-09,34.49557522123894
2019-02-10,28.106194690265486
2019-02-11,63.469026548672566
2019-02-12,69.73451327433628
2019-02-13,70.32743362831859
2019-02-14,71.88495575221239
2019-02-15,66.66371681415929
2019-02-16,38.13274336283186
2019-02-17,34.30088495575221
2019-02-18,64.40707964601769
2019-02-19,66.2566371681416
2019-02-20,72.58407079646018
2019-02-21,73.23008849557522
2019-02-22,67.66371681415929
2019-02-23,40.769911504424776
2019-02-24,36.26548672566372
2019-02-25,67.59292035398231
2019-02-26,71.06194690265487
2019-02-27,72.5575221238938
2019-02-28,72.56637168141593
2019-03-01,66.77876106194691
